#ID = reference ID
#GeneID = EntrezGene ID
#REFSEQ = RefSeq ID
#GB_ACC = GenBank accession number
#Symbol = Gene symbol
#Description = Description
#OMIM = OMIM ID
#chromosome = chromosome number
#map.location = location on the chromosome
ID	GeneID	REFSEQ	GB_ACC	Symbol	Description	OMIM	chromosome	map.location
DAP3_1651	797	NM_000728 ; NP_000719	NM_000728	CALCB	calcitonin-related polypeptide, beta	114160	11	11p15.2-p15.1
DAP3_1653	10379	NM_006084 ; NP_006075	NM_006084	ISGF3G	interferon-stimulated transcription factor 3, gamma 48kDa	147574	14	14q11.2
DAP3_1655	8904	NM_003915 ; NP_003906 ; NM_152925 ; NP_690902 ; NM_152926 ; NP_690903 ; NM_152927 ; NP_690904 ; NM_152928 ; NP_690905 ; NM_152929 ; NP_690906 ; NM_152930 ; NP_690907 ; NM_152931 ; NP_690908	NM_003915	CPNE1	copine I	604205	20	20q11.22
DAP3_1658	51406	NM_016167 ; NP_057251	NM_016167	NOL7	nucleolar protein 7, 27kDa	NA	6	6p23
DAP3_1661	8624	NM_003720 ; NP_003711 ; NM_203433 ; NP_982257	NM_003720	DSCR2	Down syndrome critical region gene 2	605296	21	21q22.3
DAP3_1665	10469	NM_006351 ; NP_006342	NM_006351	TIMM44	translocase of inner mitochondrial membrane 44 homolog (yeast)	605058	19	19p13.3-p13.2
DAP3_1671	54566	NM_018424 ; NP_060894 ; NM_019114 ; NP_061987	NM_018424	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	610340	9	9q31-q32
DAP3_1676	25840	NM_014033 ; NP_054752	NM_014033	METTL7A	methyltransferase like 7A	NA	12	12q13.13
DAP3_1678	301	NM_000700 ; NP_000691	NM_000700	ANXA1	annexin A1	151690	9	9q12-q21.2
DAP3_1679	6827	NM_003168 ; NP_003159	NM_003168	SUPT4H1	suppressor of Ty 4 homolog 1 (S. cerevisiae)	603555	17	17q21-q23
DAP3_1680	2790	NM_001017998 ; NP_001017998	NM_001017998	GNG10	guanine nucleotide binding protein (G protein), gamma 10	604389	9	9q31.3
DAP3_1682	28513	NM_021153 ; NP_066976	NM_021153	CDH19	cadherin 19, type 2	603016	18	18q22-q23
DAP3_1685	56967	NM_020215 ; NP_064600	NM_020215	C14orf132	chromosome 14 open reading frame 132	NA	14	14q32.2
DAP3_1688	7027	NM_007111 ; NP_009042	NM_007111	TFDP1	transcription factor Dp-1	189902	13	13q34
DAP3_1689	10605	XM_001128114 ; XP_001128114 ; NM_006451 ; NP_006442 ; NM_182789 ; NP_877590 ; NM_183323 ; NP_899152	XM_001128114	PAIP1	poly(A) binding protein interacting protein 1	605184	5	5p12
DAP3_1693	8045	NM_003475 ; NP_003466	NM_003475	RASSF7	Ras association (RalGDS/AF-6) domain family 7	143023	11	11p15.5
DAP3_1697	11014	NM_006854 ; NP_006845	NM_006854	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	NA	7	7p22.1
DAP3_1700	5580	NM_006254 ; NP_006245 ; NM_212539 ; NP_997704	NM_006254	PRKCD	protein kinase C, delta	176977	3	3p21.31
DAP3_1702	3073	NM_000520 ; NP_000511	NM_000520	HEXA	hexosaminidase A (alpha polypeptide)	272800 ; 606869	15	15q23-q24
DAP3_1707	8480	NM_001015885 ; NP_001015885 ; NM_003610 ; NP_003601	NM_001015885	RAE1	RAE1 RNA export 1 homolog (S. pombe)	603343	20	20q13.31
DAP3_1711	9735	NM_014708 ; NP_055523	NM_014708	KNTC1	kinetochore associated 1	607363	12	12q24.31
DAP3_1714	11184	NM_001042600 ; NP_001036065 ; NM_007181 ; NP_009112	NM_001042600	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	601983	19	19q13.1-q13.4
DAP3_1718	5885	NM_006265 ; NP_006256	NM_006265	RAD21	RAD21 homolog (S. pombe)	606462	8	8q24
DAP3_1730	5239	XM_001126256 ; XP_001126256 ; NM_021965 ; NP_068800	XM_001126256	PGM5	phosphoglucomutase 5	600981	9	9q13
DAP3_1739	823	NM_005186 ; NP_005177	NM_005186	CAPN1	calpain 1, (mu/I) large subunit	114220	11	11q13
DAP3_1740	7323	NM_003340 ; NP_003331 ; NM_181886 ; NP_871615 ; NM_181887 ; NP_871616 ; NM_181888 ; NP_871617 ; NM_181889 ; NP_871618 ; NM_181890 ; NP_871619 ; NM_181891 ; NP_871620 ; NM_181892 ; NP_871621 ; NM_181893 ; NP_871622	NM_003340	UBE2D3	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	602963	4	4q24
DAP3_1741	4606	NM_004533 ; NP_004524	NM_004533	MYBPC2	myosin binding protein C, fast type	160793	19	19q13.33
DAP3_1743	4352	NM_005373 ; NP_005364	NM_005373	MPL	myeloproliferative leukemia virus oncogene	159530 ; 187950 ; 604498	1	1p34
DAP3_1746	4739	NM_006403 ; NP_006394 ; NM_182966 ; NP_892011	NM_006403	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	602265	6	6p25-p24
DAP3_1749	10223	NM_005814 ; NP_005805	NM_005814	GPA33	glycoprotein A33 (transmembrane)	602171	1	1q24.1
DAP3_1753	5833	NM_002861 ; NP_002852	NM_002861	PCYT2	phosphate cytidylyltransferase 2, ethanolamine	602679	17	17q25.3
DAP3_1756	358	NM_198098 ; NP_932766	NM_198098	AQP1	aquaporin 1 (Colton blood group)	107776 ; 110450	7	7p14
DAP3_1757	9783	NM_014747 ; NP_055562	NM_014747	RIMS3	regulating synaptic membrane exocytosis 3	NA	1	1pter-p22.2
DAP3_1759	6453	NM_001001132 ; NP_001001132 ; NM_003024 ; NP_003015	NM_001001132	ITSN1	intersectin 1 (SH3 domain protein)	602442	21	21q22.1-q22.2
DAP3_1761	1486	NM_004388 ; NP_004379	NM_004388	CTBS	chitobiase, di-N-acetyl-	600873	1	1p22
DAP3_1762	7373	NM_021110 ; NP_066933	NM_021110	COL14A1	collagen, type XIV, alpha 1 (undulin)	120324	8	8q23
DAP3_1765	11146	NM_053274 ; NP_444504	NM_053274	GLMN	glomulin, FKBP associated protein	138000 ; 601749	1	1p22.1
DAP3_1766	81578	NM_030820 ; NP_110447	NM_030820	COL21A1	collagen, type XXI, alpha 1	610002	6	6p12.3-p11.2
DAP3_1768	3892	NM_002284 ; NP_002275	NM_002284	KRT86	keratin 86	158000 ; 601928	12	12q13
DAP3_1771	2589	NM_020474 ; NP_065207	NM_020474	GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	602273	18	18q12.1
DAP3_1772	1846	NM_001394 ; NP_001385 ; NM_057158 ; NP_476499	NM_001394	DUSP4	dual specificity phosphatase 4	602747	8	8p12-p11
DAP3_1775	1801	NM_001383 ; NP_001374	NM_001383	DPH1	DPH1 homolog (S. cerevisiae)	603527	17	17p13.3
DAP3_1776	10856	; NM_006666 ; NP_006657	NM_006666	RUVBL2	RuvB-like 2 (E. coli)	604788	19	19q13.3
DAP3_1777	56910	NM_020151 ; NP_064536 ; NM_139267 ; NP_644672	NM_020151	STARD7	START domain containing 7	NA	2	2q11.2
DAP3_1780	1299	NM_001853 ; NP_001844	NM_001853	COL9A3	collagen, type IX, alpha 3	120270 ; 600969 ; 603932	20	20q13.3
DAP3_1784	9896	NM_014845 ; NP_055660	NM_014845	KIAA0274	KIAA0274	609390	6	6q21
DAP3_1786	6708	NM_003126 ; NP_003117	NM_003126	SPTA1	spectrin, alpha, erythrocytic 1 (elliptocytosis 2)	130600 ; 182860 ; 266140 ; 270970	1	1q21
DAP3_1787	4173	NM_005914 ; NP_005905 ; NM_182746 ; NP_877423	NM_005914	MCM4	minichromosome maintenance complex component 4	602638	8	8q11.2
DAP3_1789	10156	XM_001125752 ; XP_001125752 ; NM_001079877 ; NP_001073346 ; NM_006989 ; NP_008920	XM_001125752	RASA4	RAS p21 protein activator 4	607943	7	7q22
DAP3_1790	11237	NM_007219 ; NP_009150	NM_007219	RNF24	ring finger protein 24	NA	20	20p13-p12.1
DAP3_1795	23673	NM_177424 ; NP_803173	NM_177424	STX12	syntaxin 12	606892	1	1p35-p34.1
DAP3_1799	8411	NM_003566 ; NP_003557	NM_003566	EEA1	early endosome antigen 1	605070	12	12q22
DAP3_1804	10692	NM_006583 ; NP_006574	NM_006583	RRH	retinal pigment epithelium-derived rhodopsin homolog	605224	4	4q25
DAP3_1808	51747	NM_006107 ; NP_006098 ; NM_016424 ; NP_057508	NM_006107	CROP	NA	609434	17	17q21.33
DAP3_1823	125058	NM_019020 ; NP_061893	NM_019020	TBC1D16	TBC1 domain family, member 16	NA	17	17q25.3
DAP3_1824	1892	NM_004092 ; NP_004083	NM_004092	ECHS1	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	602292	10	10q26.2-q26.3
DAP3_1825	818	NM_172172 ; NP_751912 ; NM_001222 ; NP_001213 ; NM_172169 ; NP_751909 ; NM_172170 ; NP_751910 ; NM_172171 ; NP_751911 ; NM_172173 ; NP_751913	NM_172172	CAMK2G	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	602123	10	10q22
DAP3_1826	4712	NM_002493 ; NP_002484 ; NM_182739 ; NP_877416	NM_002493	NDUFB6	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa	603322	9	9p21.1
DAP3_1828	7543	NM_003410 ; NP_003401	NM_003410	ZFX	zinc finger protein, X-linked	314980	X	Xp21.3
DAP3_1836	6742	NM_003143 ; NP_003134	NM_003143	SSBP1	single-stranded DNA binding protein 1	600439	7	7q34
DAP3_1838	5345	NM_000934 ; NP_000925	NM_000934	SERPINF2	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2	262850	17	17p13
DAP3_1841	1362	NM_001304 ; NP_001295	NM_001304	CPD	carboxypeptidase D	603102	17	17q11.2
DAP3_1842	2058	NM_004446 ; NP_004437	NM_004446	EPRS	glutamyl-prolyl-tRNA synthetase	138295	1	1q41-q42
DAP3_1844	10399	NM_006098 ; NP_006089	NM_006098	GNB2L1	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	176981	5	5q35.3
DAP3_1850	23277	NM_015229 ; NP_056044	NM_015229	KIAA0664	KIAA0664	NA	17	17p13.3
DAP3_1851	7494	NM_001079539 ; NP_001073007 ; NM_005080 ; NP_005071	NM_001079539	XBP1	X-box binding protein 1	125480 ; 194355	22	22q12.1 ; 22q12
DAP3_1856	8650	NM_001005743 ; NP_001005743 ; NM_001005744 ; NP_001005744 ; NM_001005745 ; NP_001005745 ; NM_003744 ; NP_003735	NM_001005743	NUMB	numb homolog (Drosophila)	603728	14	14q24.3
DAP3_1861	7267	NM_001001894 ; NP_001001894 ; NM_003316 ; NP_003307	NM_001001894	TTC3	tetratricopeptide repeat domain 3	602259	21	21q22.2
DAP3_1862	5915	NM_000965 ; NP_000956 ; NM_016152 ; NP_057236	NM_000965	RARB	retinoic acid receptor, beta	180220	3	3p24
DAP3_1868	410	NM_000487 ; NP_000478 ; NM_001085425 ; NP_001078894 ; NM_001085426 ; NP_001078895 ; NM_001085427 ; NP_001078896 ; NM_001085428 ; NP_001078897	NM_000487	ARSA	arylsulfatase A	250100 ; 607574	22	22q13.31-qter ; 22q13.33
DAP3_1869	1381	NM_004378 ; NP_004369	NM_004378	CRABP1	cellular retinoic acid binding protein 1	180230	15	15q24
DAP3_1870	10552	NM_006409 ; NP_006400	NM_006409	ARPC1A	actin related protein 2/3 complex, subunit 1A, 41kDa	604220	7	7q22.1
DAP3_1871	29970	NM_014575 ; NP_055390	NM_014575	SCHIP1	schwannomin interacting protein 1	NA	3	3q25.33
DAP3_1873	6900	NM_005076 ; NP_005067	NM_005076	CNTN2	contactin 2 (axonal)	190197	1	1q32.1
DAP3_1874	8887	NM_001079864 ; NP_001073333 ; NM_006024 ; NP_006015	NM_001079864	TAX1BP1	Tax1 (human T-cell leukemia virus type I) binding protein 1	605326	7	7p15
DAP3_1876	3352	NM_000864 ; NP_000855	NM_000864	HTR1D	5-hydroxytryptamine (serotonin) receptor 1D	182133	1	1p36.3-p34.3
DAP3_1882	7015	NM_198253 ; NP_937983 ; NM_198255 ; NP_937986	NM_198253	TERT	telomerase reverse transcriptase	187270 ; 609135	5	5p15.33
DAP3_1883	1889	NM_001397 ; NP_001388	NM_001397	ECE1	endothelin converting enzyme 1	145500 ; 600423	1	1p36.1
DAP3_1884	445	NM_000050 ; NP_000041 ; NM_054012 ; NP_446464	NM_000050	ASS1	argininosuccinate synthetase 1	215700 ; 603470	9	9q34.1
DAP3_1885	2050	NM_004444 ; NP_004435	NM_004444	EPHB4	EPH receptor B4	600011	7	7q22
DAP3_1886	5557	NM_000946 ; NP_000937	NM_000946	PRIM1	primase, polypeptide 1, 49kDa	176635	12	12q13
DAP3_1887	2648	NM_021078 ; NP_066564	NM_021078	GCN5L2	GCN5 general control of amino-acid synthesis 5-like 2 (yeast)	602301	17	17q21
DAP3_1888	1158	NM_001824 ; NP_001815	NM_001824	CKM	creatine kinase, muscle	123310	19	19q13.2-q13.3
DAP3_1893	9935	NM_005461 ; NP_005452	NM_005461	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	608968	20	20q11.2-q13.1
DAP3_1895	9365	NM_153683 ; NP_710150 ; NM_004795 ; NP_004786	NM_153683	KL	klotho	604824	13	13q12
DAP3_1899	10312	NM_006019 ; NP_006010 ; NM_006053 ; NP_006044	NM_006019	TCIRG1	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3	259700 ; 604592	11	11q13.2
DAP3_1908	6909	NM_005994 ; NP_005985	NM_005994	TBX2	T-box 2	600747	17	17q23
DAP3_1913	5479	NM_000942 ; NP_000933	NM_000942	PPIB	peptidylprolyl isomerase B (cyclophilin B)	123841	15	15q21-q22
DAP3_1931	6834	; NM_003172 ; NP_003163	NM_003172	SURF1	surfeit 1	185620 ; 256000	9	9q34.2
DAP3_1935	1434	NM_001316 ; NP_001307	NM_001316	CSE1L	CSE1 chromosome segregation 1-like (yeast)	601342	20	20q13
DAP3_1938	3820	NM_002258 ; NP_002249	NM_002258	KLRB1	killer cell lectin-like receptor subfamily B, member 1	602890	12	12p13
DAP3_1942	5972	NM_000537 ; NP_000528	NM_000537	REN	renin	179820 ; 267430	1	1q32
DAP3_1944	5684	NM_002788 ; NP_002779 ; NM_152132 ; NP_687033	NM_002788	PSMA3	proteasome (prosome, macropain) subunit, alpha type, 3	176843	14	14q23
DAP3_1946	6764	NM_005418 ; NP_005409 ; NM_139157 ; NP_631896 ; NM_213618 ; NP_998783	NM_005418	ST5	suppression of tumorigenicity 5	140750	11	11p15
DAP3_1949	7158	NM_005657 ; NP_005648	NM_005657	TP53BP1	tumor protein p53 binding protein, 1	605230	15	15q15-q21
DAP3_1950	51151	NM_001012509 ; NP_001012527 ; NM_016180 ; NP_057264	NM_001012509	SLC45A2	solute carrier family 45, member 2	606202 ; 606574	5	5p13.3
DAP3_1951	6296	NM_005622 ; NP_005613 ; NM_202000 ; NP_973729	NM_005622	ACSM3	acyl-CoA synthetase medium-chain family member 3	145505	16	16p13.11
DAP3_1953	57152	NM_020427 ; NP_065160	NM_020427	SLURP1	secreted LY6/PLAUR domain containing 1	248300 ; 606119	8	8q24.3
DAP3_1954	902	NM_001239 ; NP_001230	NM_001239	CCNH	cyclin H	601953	5	5q13.3-q14
DAP3_1955	54939	NM_017828 ; NP_060298	NM_017828	COMMD4	COMM domain containing 4	NA	15	15q24.2
DAP3_1959	23404	NM_014285 ; NP_055100	NM_014285	EXOSC2	exosome component 2	602238	9	9q34
DAP3_1961	4194	NM_002393 ; NP_002384	NM_002393	MDM4	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)	602704	1	1q32
DAP3_1967	8076	NM_003480 ; NP_003471	NM_003480	MFAP5	microfibrillar associated protein 5	601103	12	12p13.1-p12.3
DAP3_1969	2015	NM_001974 ; NP_001965	NM_001974	EMR1	egf-like module containing, mucin-like, hormone receptor-like 1	600493	19	19p13.3
DAP3_1974	5264	NM_001037537 ; NP_001032626 ; NM_006214 ; NP_006205	NM_001037537	PHYH	phytanoyl-CoA 2-hydroxylase	266500 ; 602026	10	10pter-p11.2
DAP3_1980	2673	NM_002056 ; NP_002047	NM_002056	GFPT1	glutamine-fructose-6-phosphate transaminase 1	138292	2	2p13
DAP3_1983	6433	NM_004592 ; NP_004583	NM_004592	SFRS8	splicing factor, arginine/serine-rich 8 (suppressor-of-white-apricot homolog, Drosophila)	601945	12	12q24.33
DAP3_1984	2529	NM_004479 ; NP_004470	NM_004479	FUT7	fucosyltransferase 7 (alpha (1,3) fucosyltransferase)	602030	9	9q34.3
DAP3_1985	2870	NM_001004105 ; NP_001004105 ; NM_001004106 ; NP_001004106 ; NM_002082 ; NP_002073	NM_001004105	GRK6	G protein-coupled receptor kinase 6	600869	5	5q35
DAP3_1987	5932	NM_002894 ; NP_002885 ; NM_203291 ; NP_976036 ; NM_203292 ; NP_976037	NM_002894	RBBP8	retinoblastoma binding protein 8	604124	18	18q11.2
DAP3_1989	251	NM_031313 ; NP_112603	NM_031313	ALPPL2	alkaline phosphatase, placental-like 2	171810	2	2q37
DAP3_1990	1345	NM_004374 ; NP_004365	NM_004374	COX6C	cytochrome c oxidase subunit VIc	124090	8	8q22-q23
DAP3_1994	9970	NM_001077469 ; NP_001070937 ; NM_001077470 ; NP_001070938 ; NM_001077471 ; NP_001070939 ; NM_001077472 ; NP_001070940 ; NM_001077473 ; NP_001070941 ; NM_001077474 ; NP_001070942 ; NM_001077475 ; NP_001070943 ; NM_001077476 ; NP_001070944 ; NM_001077477 ; NP_001070945 ; NM_001077478 ; NP_001070946 ; NM_001077479 ; NP_001070947 ; NM_001077480 ; NP_001070948 ; NM_001077481 ; NP_001070949 ; NM_001077482 ; NP_001070950 ; NM_005122 ; NP_005113	NM_001077469	NR1I3	nuclear receptor subfamily 1, group I, member 3	603881	1	1q23.3
DAP3_1998	27239	NM_014449 ; NP_055264 ; NM_019858 ; NP_062832	NM_014449	GPR162	G protein-coupled receptor 162	NA	12	12p13
DAP3_2003	4223	NM_005924 ; NP_005915	NM_005924	MEOX2	mesenchyme homeobox 2	600535	7	7p22.1-p21.3
DAP3_2008	7746	NM_006299 ; NP_006290	NM_006299	ZNF193	zinc finger protein 193	602246	6	6p21.3
DAP3_2016	776	NM_000720 ; NP_000711	NM_000720	CACNA1D	calcium channel, voltage-dependent, L type, alpha 1D subunit	114206	3	3p14.3
DAP3_2017	6039	NM_005615 ; NP_005606	NM_005615	RNASE6	ribonuclease, RNase A family, k6	601981	14	14q11.2
DAP3_2019	1300	NM_000493 ; NP_000484	NM_000493	COL10A1	collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)	120110	6	6q21-q22
DAP3_2021	2239	NM_001448 ; NP_001439	NM_001448	GPC4	glypican 4	300168	X	Xq26.1
DAP3_2022	5966	NM_002908 ; NP_002899	NM_002908	REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	164910	2	2p13-p12
DAP3_2024	405	NM_001668 ; NP_001659 ; NM_178426 ; NP_848513 ; NM_178427 ; NP_848514	NM_001668	ARNT	aryl hydrocarbon receptor nuclear translocator	126110	1	1q21
DAP3_2027	11330	NM_007272 ; NP_009203	NM_007272	CTRC	chymotrypsin C (caldecrin)	601405	1	1p36.21
DAP3_2029	27243	NM_014453 ; NP_055268 ; NM_198426 ; NP_940818	NM_014453	CHMP2A	chromatin modifying protein 2A	610893	19	19q
DAP3_2035	23544	NM_021115 ; NP_066938	NM_021115	SEZ6L	seizure related 6 homolog (mouse)-like	607021	22	22q12.1
DAP3_2037	1800	NM_004413 ; NP_004404	NM_004413	DPEP1	dipeptidase 1 (renal)	179780	16	16q24.3
DAP3_2038	995	NM_001790 ; NP_001781 ; NM_022809 ; NP_073720	NM_001790	CDC25C	cell division cycle 25 homolog C (S. pombe)	157680	5	5q31
DAP3_2039	8940	NM_003935 ; NP_003926	NM_003935	TOP3B	topoisomerase (DNA) III beta	603582	22	22q11.22
DAP3_2043	1489	NM_001330 ; NP_001321	NM_001330	CTF1	cardiotrophin 1	600435	16	16p11.2-p11.1
DAP3_2044	50804	NM_016132 ; NP_057216	NM_016132	MYEF2	myelin expression factor 2	NA	15	15q21.1
DAP3_2048	26275	NM_014362 ; NP_055177 ; NM_198047 ; NP_932164	NM_014362	HIBCH	3-hydroxyisobutyryl-Coenzyme A hydrolase	250620 ; 610690	2	2q32.2
DAP3_2049	8659	NM_003748 ; NP_003739 ; NM_170726 ; NP_733844	NM_003748	ALDH4A1	aldehyde dehydrogenase 4 family, member A1	239510 ; 606811	1	1p36
DAP3_2050	7103	NM_004616 ; NP_004607	NM_004616	TSPAN8	tetraspanin 8	600769	12	12q14.1-q21.1
DAP3_2051	1605	NM_004393 ; NP_004384	NM_004393	DAG1	dystroglycan 1 (dystrophin-associated glycoprotein 1)	128239	3	3p21
DAP3_2054	25805	NM_012342 ; NP_036474	NM_012342	BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	604444	10	10p12.3-p11.2
DAP3_2057	4124	NM_002372 ; NP_002363	NM_002372	MAN2A1	mannosidase, alpha, class 2A, member 1	154582	5	5q21-q22
DAP3_2059	9703	NM_014680 ; NP_055495	NM_014680	KIAA0100	KIAA0100	610664	17	17q11.2
DAP3_2062	3586	NM_000572 ; NP_000563	NM_000572	IL10	interleukin 10	124092 ; 180300	1	1q31-q32
DAP3_2065	3728	NM_002230 ; NP_002221 ; NM_021991 ; NP_068831	NM_002230	JUP	junction plakoglobin	173325 ; 601214	17	17q21
DAP3_2081	4312	NM_002421 ; NP_002412	NM_002421	MMP1	matrix metallopeptidase 1 (interstitial collagenase)	120353 ; 606963	11	11q22.3
DAP3_2087	9354	NM_004788 ; NP_004779	NM_004788	UBE4A	ubiquitination factor E4A (UFD2 homolog, yeast)	603753	11	11q23.3
DAP3_2091	3236	NM_002148 ; NP_002139	NM_002148	HOXD10	homeobox D10	142984 ; 192950	2	2q31.1
DAP3_2094	280	; NM_020978 ; NP_066188	NM_020978	AMY2B	amylase, alpha 2B (pancreatic)	104660	1	1p21
DAP3_2095	5985	XM_001132724 ; XP_001132724 ; NM_007370 ; NP_031396 ; NM_181578 ; NP_853556	XM_001132724	RFC5	replication factor C (activator 1) 5, 36.5kDa	600407	12	12q24.2-q24.3
DAP3_2097	10190	NM_005783 ; NP_005774	NM_005783	TXNDC9	thioredoxin domain containing 9	NA	2	2q11.2
DAP3_2099	3764	NM_004982 ; NP_004973	NM_004982	KCNJ8	potassium inwardly-rectifying channel, subfamily J, member 8	600935	12	12p11.23
DAP3_2100	3981	NM_002312 ; NP_002303 ; NM_206937 ; NP_996820	NM_002312	LIG4	ligase IV, DNA, ATP-dependent	254500 ; 601837 ; 606593	13	13q33-q34
DAP3_2110	3217	NM_004502 ; NP_004493	NM_004502	HOXB7	homeobox B7	142962	17	17q21.3
DAP3_2114	1187	NM_001042704 ; NP_001036169 ; NM_004070 ; NP_004061	NM_001042704	CLCNKA	chloride channel Ka	602024 ; 602522	1	1p36
DAP3_2117	644	NM_000712 ; NP_000703	NM_000712	BLVRA	biliverdin reductase A	109750	7	7p14-cen
DAP3_2122	7726	NM_003449 ; NP_003440	NM_003449	TRIM26	tripartite motif-containing 26	600830	6	6p21.3
DAP3_2127	29895	NM_013292 ; NP_037424	NM_013292	MYLPF	NA	NA	16	16p11.2
DAP3_2129	6636	NM_003095 ; NP_003086	NM_003095	SNRPF	small nuclear ribonucleoprotein polypeptide F	603541	12	12q22
DAP3_2136	443	NM_000049 ; NP_000040	NM_000049	ASPA	aspartoacylase (Canavan disease)	271900 ; 608034	17	17pter-p13
DAP3_2137	3642	NM_002196 ; NP_002187	NM_002196	INSM1	insulinoma-associated 1	600010	20	20p11.2
DAP3_2139	262	NM_001033059 ; NP_001028231 ; NM_001634 ; NP_001625	NM_001033059	AMD1	adenosylmethionine decarboxylase 1	180980	6	6q21-q22
DAP3_2143	23170	NM_015140 ; NP_055955	NM_015140	TTLL12	tubulin tyrosine ligase-like family, member 12	NA	22	22q13.31
DAP3_2144	23765	NM_014339 ; NP_055154	NM_014339	IL17RA	interleukin 17 receptor A	605461	22	22q11.1
DAP3_2149	5407	NM_006229 ; NP_006220	NM_006229	PNLIPRP1	pancreatic lipase-related protein 1	604422	10	10q25.3
DAP3_2152	5698	NM_002800 ; NP_002791 ; NM_148954 ; NP_683756	NM_002800	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	177045	6	6p21.3
DAP3_2153	10288	NM_001080978 ; NP_001074447 ; NM_005874 ; NP_005865	NM_001080978	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	604815	19	19q13.4
DAP3_2155	7555	NM_003418 ; NP_003409	NM_003418	CNBP	CCHC-type zinc finger, nucleic acid binding protein	116955 ; 602668	3	3q21
DAP3_2157	4053	NM_000428 ; NP_000419	NM_000428	LTBP2	latent transforming growth factor beta binding protein 2	602091	14	14q24
DAP3_2158	6388	NM_006923 ; NP_008854	NM_006923	SDF2	stromal cell-derived factor 2	602934	17	17q11.2
DAP3_2160	7593	NM_003422 ; NP_003413 ; NM_198055 ; NP_932172	NM_003422	MZF1	myeloid zinc finger 1	194550	19	19q13.2-q13.4
DAP3_2161	4478	NM_002444 ; NP_002435	NM_002444	MSN	moesin	309845	X	Xq11.2-q12
DAP3_2162	5298	NM_002651 ; NP_002642	NM_002651	PIK4CB	phosphatidylinositol 4-kinase, catalytic, beta polypeptide	602758	1	1q21
DAP3_2163	4893	NM_002524 ; NP_002515	NM_002524	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	114500 ; 164790 ; 188470	1	1p13.2
DAP3_2164	388	NM_004040 ; NP_004031	NM_004040	RHOB	ras homolog gene family, member B	165370	2	2p24
DAP3_2166	4795	NM_005007 ; NP_004998	NM_005007	NFKBIL1	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1	180300 ; 601022	6	6p21.3
DAP3_2167	1540	NM_001042355 ; NP_001035814 ; NM_001042412 ; NP_001035877 ; NM_015247 ; NP_056062	NM_001042355	CYLD	cylindromatosis (turban tumor syndrome)	132700 ; 605018	16	16q12.1
DAP3_2168	5277	NM_002641 ; NP_002632 ; NM_020473 ; NP_065206	NM_002641	PIGA	phosphatidylinositol glycan anchor biosynthesis, class A (paroxysmal nocturnal hemoglobinuria)	311770	X	Xp22.1
DAP3_2170	537	NM_001183 ; NP_001174	NM_001183	ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1	300197	X	Xq28
DAP3_2173	874	NM_001236 ; NP_001227	NM_001236	CBR3	carbonyl reductase 3	603608	21	21q22.2
DAP3_2174	10987	NM_006837 ; NP_006828	NM_006837	COPS5	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)	604850	8	8q13.2
DAP3_2179	6948	NM_000355 ; NP_000346	NM_000355	TCN2	transcobalamin II; macrocytic anemia	275350	22	22q12.2
DAP3_2180	1719	NM_000791 ; NP_000782	NM_000791	DHFR	dihydrofolate reductase	126060	5	5q11.2-q13.2
DAP3_2182	7982	NM_018412 ; NP_060882 ; NM_021908 ; NP_068708	NM_018412	ST7	suppression of tumorigenicity 7	600833	7	7q31.1-q31.3
DAP3_2184	575	XM_001130169 ; XP_001130169 ; NM_001702 ; NP_001693	XM_001130169	BAI1	brain-specific angiogenesis inhibitor 1	602682	8	8q24
DAP3_2185	7274	XM_001128514 ; XP_001128514 ; NM_000370 ; NP_000361	XM_001128514	TTPA	tocopherol (alpha) transfer protein (ataxia (Friedreich-like) with vitamin E deficiency)	277460 ; 600415	8	8q13.1-q13.3
